LICENSE TYPE,Document Count
CC,10051758
CC-BY,2420035
CC-BY-NC,1623435
CC-BY-NC-ND,2871969
CC-BY-NC-SA,770656
CC-BY-ND,1426037
CC-BY-SA,742647
CC0,196975
