pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
19492,5183,286605,724,21137,52,5,0,4191778,0,mt
226883,106272,783482,2965,109269,124,4,0,21475632,0,my
4897,1670,89865,4,11976,12,1,0,35278,0,na
1736023,607653,23349159,4,575947,1261,45,0,176232855,0,nb
105369,31317,1123827,1299,61574,112,6,0,6859596,0,ne
442,8,5923,0,2386,0,1,0,2693,0,ng
4520249,2118468,63832190,20,1264038,3920,35,0,403790161,0,nl
377014,164418,3459061,16,126365,146,14,0,37663383,0,nn
1736024,607653,23349170,4,575947,1261,45,0,176232855,0,no
36164,21709,302203,734,15976,10,2,0,1404148,0,nv
4621,1020,41523,0,10050,19,3,0,276715,0,ny
158481,88421,2354701,937,50464,96,4,0,18433666,0,oc
4075,1223,39251,0,10071,21,1,0,354682,0,om
73837,16534,477513,171,32801,58,6,0,5152745,0,or
62379,16872,532583,158,23384,27,3,0,1258450,0,os
147686,42786,649862,1836,44637,121,9,0,16819614,0,pa
4649,2546,101900,1,6918,8,2,0,63812,0,pi
3595861,1560073,69649250,261,1225311,4541,99,0,467952556,0,pl
58551,17287,292993,1736,29570,53,1,0,13852081,0,ps
5480172,1102782,65294786,59209,2886904,9107,52,0,506561403,0,pt
56484,23412,653167,0,28203,39,2,0,1913712,0,qu
9619,3757,163850,51,19232,22,3,0,2794897,0,rm
2465,625,23266,0,9311,11,1,0,57426,0,rn
2661619,437349,15438614,116896,611146,1036,17,0,142908742,0,ro
7621478,1900722,128925556,242608,3351015,11114,74,0,985091685,0,ru
11886,4855,92693,0,11898,46,1,0,1355178,0,rw
72170,11967,474381,445,37010,38,4,0,2813382,0,sa
16668,7380,179555,150,23025,27,4,0,2188701,0,sc
56466,15346,242444,145,16720,36,4,0,4322713,0,sd
20912,7837,301891,0,27339,17,7,0,695608,0,se
1985,316,20651,0,6234,7,2,0,24338,0,sg
84763,18432,541716,3066,61929,91,3,0,8953616,0,si
556317,244046,7525601,0,231089,590,10,0,60939024,0,sk
451445,180302,5946306,8373,219755,449,22,0,66582146,0,sl
