pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4065,1,1,0,0,0,aa
21704,6040,123938,9,18667,28,2,0,231986,0,ab
378052,107103,2561076,9645,160032,169,13,0,37283381,0,af
2512,610,29797,0,13500,33,1,0,170416,0,ak
46107,15185,375029,1777,42428,59,1,0,1846529,0,am
133288,43596,1910070,1550,71502,66,6,0,8294771,0,an
8045828,1203264,61778985,51511,2395530,4695,20,0,383595682,0,ar
77120,11332,349597,1753,36758,102,5,0,6869286,0,as
15830,3330,86563,0,14010,21,2,0,661489,0,av
8644,5034,95932,0,15926,14,1,0,448695,0,ay
527649,192913,6928290,19954,265609,779,15,0,59727072,0,az
174953,62255,1224850,1493,37387,92,7,0,26606269,0,ba
664368,229618,4395356,3280,127649,285,11,0,54640979,0,be
644772,289502,11704724,484,322214,759,25,0,105743805,0,bg
71883,8285,739589,53,31718,50,2,0,1390807,0,bh
3330,1407,42421,0,12625,10,2,0,43287,0,bi
3166,789,40725,0,10308,14,2,0,65439,0,bm
1157159,136202,6555703,16505,412690,1504,13,0,65220972,0,bn
17879,6249,140935,0,27694,30,1,0,10528359,0,bo
149274,78683,2037841,5316,73222,85,6,0,13254376,0,br
371066,91566,3479394,5480,150308,162,9,0,35503364,0,bs
1807112,723748,31380609,14492,444681,1263,30,0,344253970,0,ca
1149441,561486,9502603,319,33092,62,3,0,79170417,0,ce
2512,546,23308,0,15043,19,1,0,23264,0,ch
15192,6524,383801,0,20893,35,2,0,1211882,0,co
2188,161,38156,0,17696,20,2,0,2820,0,cr
1457464,521191,22524517,1,612355,2735,31,0,237357185,0,cs
5631,1194,83890,0,24076,18,2,0,71665,0,cu
102151,50878,784164,537,32522,48,2,0,6600568,0,cv
434218,278537,11714421,11295,79019,129,16,0,53201389,0,cy
921792,289948,11398068,0,450827,834,25,0,89452788,0,da
7684586,2783980,230487380,127363,4112414,18756,182,0,1486727803,0,de
11441,3025,130656,932,24129,22,4,0,785735,0,dv
2625,237,30146,0,9736,9,1,0,692976,0,dz
3585,820,54524,0,13883,34,3,0,111942,0,ee
646115,218140,9948104,18905,386725,1055,21,0,133065338,0,el
57798177,6633041,1141094250,898259,45227832,129561,910,0,4321501628,0,en
742710,332971,7953517,13472,207155,348,16,0,77765107,0,eo
7865849,1848084,149566069,0,6796111,14473,60,0,1108293716,0,es
554155,234760,6344166,773,176514,631,34,0,55185758,0,et
