pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4065,1,1,0,0,0,aa
21704,6040,123920,9,18666,28,2,0,231986,0,ab
378052,107103,2561072,9645,160017,169,13,0,37271540,0,af
2512,610,29797,0,13498,33,1,0,170416,0,ak
46107,15185,375029,1777,42426,59,1,0,1846529,0,am
133288,43596,1910042,1550,71500,66,6,0,8294529,0,an
8045598,1203268,61775626,51511,2395464,4695,20,0,383595682,0,ar
77104,11325,349531,1753,36754,102,5,0,6856875,0,as
15830,3330,86563,0,14008,21,2,0,661489,0,av
8644,5034,95932,0,15925,14,1,0,448695,0,ay
527637,192914,6928034,19953,265598,779,15,0,59727072,0,az
174951,62255,1224832,1493,37385,92,7,0,26601739,0,ba
664366,229617,4395262,3280,127645,285,11,0,54640979,0,be
644771,289501,11704675,484,322209,759,25,0,105743805,0,bg
71876,8284,739546,53,31714,50,2,0,1390807,0,bh
3330,1407,42421,0,12624,10,2,0,43287,0,bi
3166,789,40725,0,10307,14,2,0,65439,0,bm
1157139,136196,6555399,16505,412653,1504,13,0,65178377,0,bn
17879,6249,140933,0,27692,30,1,0,10528359,0,bo
149272,78682,2037788,5316,73221,85,6,0,13254376,0,br
371066,91566,3479391,5480,150304,162,9,0,35503364,0,bs
1807092,723744,31380170,14492,444668,1263,30,0,344253970,0,ca
1149441,561486,9502603,319,33090,62,3,0,79170417,0,ce
2512,546,23308,0,15041,19,1,0,23264,0,ch
15191,6520,383791,0,20892,35,2,0,1211882,0,co
2188,161,38156,0,17693,20,2,0,2820,0,cr
1457461,521190,22524336,1,612339,2735,31,0,237357185,0,cs
5631,1194,83890,0,24075,18,2,0,71665,0,cu
102151,50878,784164,537,32521,48,2,0,6600568,0,cv
434217,278537,11714395,11295,79012,129,16,0,53201389,0,cy
921793,289949,11397994,0,450818,834,25,0,89452788,0,da
7684516,2783967,230484322,127358,4112344,18756,182,0,1486465931,0,de
11441,3025,130656,932,24127,22,4,0,785735,0,dv
2625,237,30146,0,9735,9,1,0,692976,0,dz
3585,820,54524,0,13882,34,3,0,111942,0,ee
646100,218138,9947802,18905,386711,1055,21,0,133065338,0,el
57796112,6632925,1141048820,898308,45226529,129561,910,0,4321501628,0,en
742695,332966,7953382,13472,207146,348,16,0,77765107,0,eo
7865618,1848016,149561041,0,6795884,14473,60,0,1108293716,0,es
554152,234759,6344132,773,176509,631,34,0,55185758,0,et
854277,408622,9215058,0,146095,585,12,0,75404172,0,eu
5469870,955854,36705410,84489,1202822,5382,37,0,186996948,0,fa
2993,735,28939,0,8343,36,2,0,168846,0,ff
1440017,549375,21300247,72590,539657,1825,33,0,156399698,0,fi
3641,1277,35587,0,8716,9,1,0,91776,0,fj
40483,13882,371062,0,28102,39,3,0,2224532,0,fo
12477363,2506861,202018562,70276,4613630,19126,154,0,1585127374,0,fr
155549,51002,1111236,7695,45267,76,8,0,17709989,0,fy
99072,58333,1127437,1158,55313,104,7,0,8571932,0,ga
32119,15868,572281,347,26611,27,5,0,2381114,0,gd
491773,195321,6342128,272,133871,271,8,0,84448082,0,gl
12228,5173,124544,0,17350,31,2,0,879470,0,gn
121960,30092,840155,0,72757,78,3,0,8508091,0,gu
23555,5875,318849,184,19049,20,3,0,917786,0,gv
39986,22806,234407,0,21617,165,5,0,10705516,0,ha
1402625,331869,35836335,76067,1061879,2911,27,0,208474804,0,he
1238343,155826,5790265,3712,748352,1450,6,0,52171290,0,hi
129,3,3786,0,1577,1,1,0,205,0,ho
449193,214187,6595291,21379,289697,535,12,0,67324332,0,hr
83495,68335,819298,0,30060,53,3,0,7386824,0,ht
1493452,521968,25874934,8712,527815,1700,25,0,209982662,0,hu
999736,296045,8634674,11630,130621,586,11,0,98962691,0,hy
176,0,4483,0,3763,0,1,0,0,0,hz
43613,29168,652978,4,46688,50,6,0,2509667,0,ia
3452109,641424,23113313,46848,1393963,3300,44,0,185953475,0,id
15446,11542,153782,0,17958,33,2,0,3548533,0,ie
20501,13522,109691,0,15644,46,4,0,7454418,0,ig
189,3,11653,0,2033,1,1,0,85,0,ii
2706,503,38893,0,8329,16,2,0,14188,0,ik
54510,37036,1010430,0,35110,47,5,0,5962663,0,io
145507,56157,1795225,3215,90321,142,19,0,12695881,0,is
7672540,1802812,132298274,133467,2360731,8296,119,0,883710837,0,it
3033,451,46031,0,18131,32,2,0,14207,0,iu
4025923,1367167,94195700,8185,2049084,14657,41,0,1362444081,0,ja
181769,72435,1629113,5452,56693,80,5,0,10491827,0,jv
469576,166378,4483160,15058,148847,245,6,0,38153533,0,ka
2920,1262,44035,0,10406,10,1,0,40514,0,kg
3089,1504,20883,0,8398,10,1,0,48181,0,ki
114,4,3548,0,1378,0,1,0,113,0,kj
597412,233013,3138636,10542,128043,311,14,0,34480278,0,kk
