pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4065,1,1,0,0,0,aa
21711,6046,124035,9,18674,27,2,0,232718,0,ab
378090,107123,2561489,9645,160122,170,13,0,37290846,0,af
2515,610,29806,0,13505,39,1,0,171128,0,ak
46108,15185,375032,1777,42447,52,1,0,1846672,0,am
133371,43599,1910774,1550,71531,72,6,0,8298213,0,an
8047687,1203406,61802545,51515,2396299,4608,20,0,383689443,0,ar
77202,11364,349917,1755,36776,109,5,0,6885350,0,as
15861,3330,86597,0,14013,23,2,0,661469,0,av
8644,5034,95935,0,15930,15,1,0,448717,0,ay
527802,192959,6931953,19960,265715,747,15,0,59763507,0,az
174975,62263,1225170,1493,37405,95,7,0,26614095,0,ba
664537,229684,4400412,3280,127725,288,10,0,54665993,0,be
644987,289538,11706652,484,322319,761,25,0,105774081,0,bg
71916,8285,739755,53,31741,55,2,0,1392148,0,bh
3331,1408,42422,0,12629,11,2,0,43314,0,bi
3166,789,40725,0,10309,15,2,0,65439,0,bm
1157582,136298,6558807,16509,413002,1499,13,0,65312354,0,bn
17905,6249,140964,0,27709,26,1,0,10528464,0,bo
149312,78718,2038009,5316,73244,87,6,0,13256088,0,br
371090,91575,3479704,5481,150360,167,9,0,35518930,0,bs
1807465,723904,31387561,14492,444860,1276,30,0,344462428,0,ca
1149467,561495,9502838,320,33111,63,3,0,79171988,0,ce
2510,546,23311,0,15048,20,1,0,23263,0,ch
15193,6525,383804,0,20900,37,2,0,1212093,0,co
2188,161,38158,0,17701,23,2,0,2820,0,cr
1457742,521280,22529844,1,612657,2719,31,0,237518618,0,cs
5631,1194,83893,0,24084,19,2,0,71665,0,cu
102167,50883,784216,537,32540,51,2,0,6601317,0,cv
434257,278549,11714791,11296,79063,139,16,0,53214107,0,cy
921879,289988,11399564,0,450987,839,25,0,89474463,0,da
7686413,2784535,230561459,127403,4113842,18975,182,0,1487093213,0,de
11439,3024,130658,932,24137,24,4,0,785710,0,dv
2620,237,30157,0,9745,12,1,0,692961,0,dz
3584,818,54526,0,13892,28,3,0,112307,0,ee
646632,218286,9952013,18912,386862,1057,21,0,133213072,0,el
57813980,6633866,1141453384,898422,45241054,130416,910,0,4323233584,0,en
742979,333131,7959863,13495,207238,354,16,0,77804271,0,eo
7867612,1848605,149609540,0,6798110,14583,60,0,1109024307,0,es
554253,234796,6345650,773,176607,631,34,0,55213664,0,et
854591,408715,9216932,0,146202,581,12,0,75461462,0,eu
5471371,956079,36718386,84664,1203333,5285,37,0,187126526,0,fa
2995,736,28945,0,8366,39,2,0,168872,0,ff
1440389,549490,21305915,72581,539884,1871,33,0,156452438,0,fi
3641,1277,35590,0,8719,11,1,0,91776,0,fj
40483,13882,371072,0,28125,43,3,0,2225216,0,fo
12481708,2507397,202086545,70296,4615493,19265,154,0,1585688371,0,fr
155655,51030,1111599,7696,45290,82,8,0,17734725,0,fy
99087,58338,1127803,1158,55339,104,7,0,8588378,0,ga
32119,15869,572307,347,26627,33,5,0,2381524,0,gd
491901,195366,6344059,272,133925,277,8,0,84484720,0,gl
12237,5175,124583,0,17368,31,2,0,880432,0,gn
121994,30092,840243,0,72789,78,3,0,8508293,0,gu
23557,5875,318855,184,19053,22,3,0,917776,0,gv
40415,23046,235880,0,21650,161,5,0,10776930,0,ha
1403129,331959,35848164,76027,1062489,2940,27,0,208581968,0,he
1238870,155858,5792158,3712,748796,1460,6,0,52198085,0,hi
129,3,3786,0,1577,1,1,0,205,0,ho
449227,214200,6596182,21379,289854,539,12,0,67340319,0,hr
83498,68336,819404,0,30075,53,3,0,7392839,0,ht
1493581,522064,25886514,8715,527967,1691,25,0,210041219,0,hu
999909,296088,8636731,11636,130673,593,11,0,99012870,0,hy
176,0,4483,0,3763,0,1,0,0,0,hz
43615,29169,652995,4,46723,48,6,0,2509820,0,ia
3452850,641668,23124855,46895,1394455,3341,44,0,186106312,0,id
15448,11544,153789,0,17968,34,2,0,3548650,0,ie
20505,13525,109721,0,15663,50,4,0,7455144,0,ig
189,3,11653,0,2033,1,1,0,85,0,ii
2706,503,38896,0,8333,18,2,0,14187,0,ik
54583,37066,1010635,0,35127,49,5,0,5967881,0,io
145565,56180,1795711,3215,90368,151,19,0,12700932,0,is
7674701,1803347,132335970,133475,2361589,8317,119,0,884039859,0,it
3033,451,46038,0,18139,35,2,0,14199,0,iu
4026607,1367446,94242126,7883,2050356,14687,41,0,1363024715,0,ja
181773,72436,1629158,5452,56722,82,5,0,10492285,0,jv
469696,166438,4483997,15059,148914,259,6,0,38172928,0,ka
2920,1262,44035,0,10409,11,1,0,40514,0,kg
3089,1504,20883,0,8402,11,1,0,48181,0,ki
114,4,3548,0,1378,0,1,0,113,0,kj
597501,233026,3139155,10542,128110,306,14,0,34486894,0,kk
2263,242,74737,0,12760,10,3,0,25512,0,kl
34088,10027,293541,1035,38560,73,6,0,7519406,0,km
133760,29807,1156123,2307,80147,165,4,0,20537615,0,kn
3054136,629345,34539370,13003,778577,1642,27,0,155828778,0,ko
162,0,4641,0,5465,0,1,0,0,0,kr
10289,2738,73698,10,10006,19,2,0,129463,0,ks
117090,59025,1165518,564,54699,102,3,0,6379851,0,ku
17242,5501,141488,0,13772,26,1,0,804715,0,kv
14281,6960,208695,6,14500,30,2,0,696728,0,kw
110669,80402,440052,2687,35590,86,2,0,11388206,0,ky
277641,137610,3748104,0,165586,145,17,0,20596205,0,la
134241,61590,2423437,2382,57285,80,6,0,11888959,0,lb
6327,2574,29180,0,7762,27,2,0,1084535,0,lg
66298,14268,458492,623,27532,39,7,0,4579719,0,li
8698,3321,122595,32,12454,34,4,0,267801,0,ln
13072,3965,99871,0,16910,33,2,0,1353414,0,lo
512543,209059,6904715,24557,173239,377,10,0,45082159,0,lt
483492,118953,3803980,26202,112970,306,13,0,29669938,0,lv
246201,95417,1053413,3,30265,40,3,0,9426227,0,mg
206,4,4212,0,2144,0,1,0,585,0,mh
14161,7785,160959,0,17583,17,2,0,796882,0,mi
535904,134746,4943591,8706,107775,320,12,0,60802462,0,mk
506849,83280,3819196,7057,169652,284,15,0,26708778,0,ml
99186,21924,724245,1372,82603,102,3,0,7145284,0,mn
301106,90886,2249439,19125,151974,304,10,0,14659057,0,mr
1052404,363955,5789196,19159,310602,650,16,0,66861220,0,ms
19580,5233,287900,724,21190,52,5,0,4223722,0,mt
227215,106274,784444,2970,109484,120,4,0,21505141,0,my
4898,1670,89873,4,11998,15,1,0,35284,0,na
1738903,608014,23378996,4,576666,1295,45,0,176500244,0,nb
105520,31369,1125055,1300,61703,117,6,0,6869919,0,ne
442,8,5923,0,2386,0,1,0,2693,0,ng
4522196,2119060,63872937,20,1265858,3956,35,0,402937716,0,nl
377544,164530,3461718,16,126565,146,14,0,37730477,0,nn
1738904,608014,23379028,4,576666,1295,45,0,176500244,0,no
36268,21798,302528,734,16013,18,2,0,1408479,0,nv
4623,1021,41535,0,10070,20,3,0,276655,0,ny
158569,88451,2355832,937,50553,103,4,0,18452973,0,oc
4100,1242,39335,0,10093,19,1,0,358923,0,om
73917,16558,477849,171,32885,67,6,0,5161892,0,or
62568,16913,533319,158,23416,26,3,0,1260789,0,os
148842,43257,652899,1843,44747,124,9,0,16992710,0,pa
4650,2546,101907,1,6937,8,2,0,63719,0,pi
3598397,1561217,69718181,261,1226952,4496,99,0,468513337,0,pl
58734,17369,293504,1736,29651,44,1,0,12375442,0,ps
5485306,1103046,65360934,59267,2891166,9179,52,0,507260646,0,pt
56417,23355,653221,0,28260,39,2,0,1909755,0,qu
9619,3757,163870,51,19261,23,3,0,2794898,0,rm
2482,627,23292,0,9330,15,1,0,57421,0,rn
2663173,437463,15566442,116903,612062,1004,17,0,143033838,0,ro
7630323,1902810,129085195,242766,3356034,11040,75,0,986530752,0,ru
12297,5111,93357,0,11941,47,1,0,1463815,0,rw
72243,11969,474522,445,37072,42,4,0,2835475,0,sa
16673,7380,179593,151,23068,34,4,0,2192377,0,sc
56472,15347,242497,145,16773,29,4,0,4339792,0,sd
20917,7838,301911,0,27391,17,7,0,695735,0,se
1985,316,20651,0,6253,9,2,0,24338,0,sg
84824,18445,542180,3044,62061,87,3,0,8964748,0,si
556773,244153,7529790,0,231484,589,10,0,61015759,0,sk
451897,180399,5954558,8374,220024,400,22,0,66177901,0,sl
3343,1074,43024,0,10014,12,1,0,157831,0,sm
19075,10363,105477,0,16405,30,1,0,1100570,0,sn
26742,9150,249159,0,34444,114,1,0,2446659,0,so
272062,88761,2530997,4386,150109,308,11,0,32265962,0,sq
4017505,669297,25614839,37624,323296,837,18,0,177342242,0,sr
2529,635,38713,0,8000,17,3,0,86865,0,ss
4392,905,29265,0,9909,21,2,0,163117,0,st
97739,61398,633119,545,29532,59,7,0,6629826,0,su
6159329,2559824,52127958,0,859221,2299,67,0,494631305,0,sv
159548,76559,1270844,2283,59545,234,14,0,11582707,0,sw
484502,152995,3671405,8006,216852,339,31,0,42540670,0,ta
321103,81642,3823552,14693,119772,186,14,0,38379772,0,te
266276,109413,1342483,493,38397,79,7,0,10070421,0,tg
1015076,154646,10629194,26484,443897,1095,17,0,98985638,0,th
2768,254,24141,0,8920,11,2,0,48307,0,ti
16290,6670,238087,335,26269,43,3,0,1412304,0,tk
237072,44236,2002084,1897,130127,171,11,0,15397623,0,tl
4365,1011,30766,4,9686,13,2,0,588056,0,tn
5399,1948,42479,12,9798,11,2,0,173103,0,to
2442778,515200,29392369,38720,1481076,3392,20,0,142070385,0,tr
3788,721,37136,0,9420,18,2,0,165823,0,ts
635267,483269,3825751,6315,45910,97,6,0,101466543,0,tt
5794,2648,103994,0,14607,23,2,0,962188,0,tw
2998,1196,53213,0,7127,8,1,0,62239,0,ty
15288,5629,156857,134,20789,30,2,0,2742988,0,ug
4335875,1252012,38916557,111768,678541,3957,46,0,446363449,0,uk
1030804,187869,5327684,13930,160220,302,11,0,46032601,0,ur
821128,222249,3620375,2619,93096,746,20,0,54289821,0,uz
2243,749,19509,0,7547,15,1,0,50338,0,ve
19413044,1281947,69752784,25591,902779,2007,19,0,320107068,0,vi
149446,33245,3281551,0,33405,37,2,0,2560888,0,vo
27722,11745,393267,626,23135,29,4,0,1958110,0,wa
5376,1649,104727,0,14484,16,3,0,660578,0,wo
3924,1275,34499,0,12348,21,1,0,287307,0,xh
44381,15501,586460,1062,47704,52,3,0,3456735,0,yi
55944,32150,562827,166,26331,63,3,0,2534976,0,yo
4864,2521,40596,0,10160,14,2,0,188684,0,za
7331128,1342321,76165500,62822,3327338,8237,67,0,639259912,0,zh
24457,10895,100481,0,18784,30,1,0,866449,0,zu
