LICENSE TYPE,Document Count
licenses/by-nd-nc/1.0,25800000
licenses/by-sa/1.0,37500000
licenses/nc/1.0,26700000
licenses/nc-sa/1.0,4550000
licenses/nc-sampling+/1.0,1690
licenses/nd/1.0,84600000
licenses/nd-nc/1.0,25600000
licenses/sa/1.0,41200000
licenses/sampling/1.0,82200000
licenses/sampling+/1.0,4100
licenses/by/2.0,71600000
licenses/by-nc/2.0,19000000
licenses/by-nc-nd/2.0,18000000
licenses/by-nc-sa/2.0,2260000
licenses/by-nd/2.0,66400000
licenses/by-nd-nc/2.0,17800000
licenses/by-sa/2.0,32200000
licenses/devnations/2.0,111
licenses/nc/2.0,18600000
licenses/nc-sa/2.0,2290000
licenses/nd/2.0,66100000
licenses/nd-nc/2.0,20500000
licenses/sa/2.0,32200000
licenses/by/2.1,68800000
licenses/by-nc/2.1,24500000
licenses/by-nc-nd/2.1,26800000
licenses/by-nc-sa/2.1,8000000
licenses/by-nd/2.1,70900000
licenses/by-sa/2.1,34700000
licenses/by/2.5,83100000
licenses/by-nc/2.5,26200000
licenses/by-nc-nd/2.5,29600000
licenses/by-nc-sa/2.5,6820000
licenses/by-nd/2.5,84900000
licenses/by-sa/2.5,33400000
licenses/by/3.0,76200000
licenses/by-nc/3.0,23300000
licenses/by-nc-nd/3.0,27800000
licenses/by-nc-sa/3.0,4300000
licenses/by-nd/3.0,73300000
licenses/by-sa/3.0,45900000
licenses/by/4.0,217000000
licenses/by-nc/4.0,84900000
licenses/by-nc-nd/4.0,89100000
licenses/by-nc-sa/4.0,34200000
licenses/by-nd/4.0,236000000
licenses/by-sa/4.0,110000000
publicdomain/mark/1.0,14700000
publicdomain/zero/1.0,34000000
